Date,AAPL,SPY,MSFT,ETH ,BTC
11/28/2016,27.8925,220.479996,60.610001,#N/A,#N/A
11/29/2016,27.865,220.910004,61.09,#N/A,#N/A
11/30/2016,27.629999,220.380005,60.259998,#N/A,#N/A
12/1/2016,27.372499,219.570007,59.200001,#N/A,#N/A
12/2/2016,27.475,219.679993,59.25,#N/A,#N/A
12/5/2016,27.2775,221,60.220001,#N/A,#N/A
12/6/2016,27.487499,221.699997,59.950001,#N/A,#N/A
12/7/2016,27.7575,224.600006,61.369999,#N/A,#N/A
12/8/2016,28.030001,225.149994,61.009998,#N/A,#N/A
12/9/2016,28.487499,226.509995,61.970001,#N/A,#N/A
12/12/2016,28.325001,226.25,62.169998,#N/A,#N/A
12/13/2016,28.797501,227.759995,62.98,#N/A,#N/A
12/14/2016,28.797501,225.880005,62.68,#N/A,#N/A
12/15/2016,28.955,226.809998,62.580002,#N/A,#N/A
12/16/2016,28.9925,225.039993,62.299999,#N/A,#N/A
12/19/2016,29.16,225.529999,63.619999,#N/A,#N/A
12/20/2016,29.237499,226.399994,63.540001,#N/A,#N/A
12/21/2016,29.264999,225.770004,63.540001,#N/A,#N/A
12/22/2016,29.0725,225.380005,63.549999,#N/A,#N/A
12/23/2016,29.129999,225.710007,63.240002,#N/A,#N/A
12/27/2016,29.315001,226.270004,63.279999,#N/A,#N/A
12/28/2016,29.190001,224.399994,62.990002,#N/A,#N/A
12/29/2016,29.182501,224.350006,62.900002,#N/A,#N/A
12/30/2016,28.955,223.529999,62.139999,#N/A,#N/A
1/3/2017,29.0375,225.240005,62.580002,#N/A,#N/A
1/4/2017,29.004999,226.580002,62.299999,#N/A,#N/A
1/5/2017,29.1525,226.399994,62.299999,#N/A,#N/A
1/6/2017,29.477501,227.210007,62.84,#N/A,#N/A
1/9/2017,29.747499,226.460007,62.639999,#N/A,#N/A
1/10/2017,29.7775,226.460007,62.619999,#N/A,#N/A
1/11/2017,29.9375,227.100006,63.189999,#N/A,#N/A
1/12/2017,29.8125,226.529999,62.610001,#N/A,#N/A
1/13/2017,29.76,227.050003,62.700001,#N/A,#N/A
1/17/2017,30,226.25,62.529999,#N/A,#N/A
1/18/2017,29.997499,226.75,62.5,#N/A,#N/A
1/19/2017,29.945,225.910004,62.299999,#N/A,#N/A
1/20/2017,30,226.740005,62.740002,#N/A,#N/A
1/23/2017,30.02,226.149994,62.959999,#N/A,#N/A
1/24/2017,29.9925,227.600006,63.52,#N/A,#N/A
1/25/2017,30.469999,229.570007,63.68,#N/A,#N/A
1/26/2017,30.485001,229.330002,64.269997,#N/A,#N/A
1/27/2017,30.487499,228.970001,65.779999,#N/A,#N/A
1/30/2017,30.407499,227.550003,65.129997,#N/A,#N/A
1/31/2017,30.3375,227.529999,64.650002,#N/A,#N/A
2/1/2017,32.1875,227.619995,63.580002,#N/A,#N/A
2/2/2017,32.1325,227.770004,63.169998,#N/A,#N/A
2/3/2017,32.27,229.339996,63.68,#N/A,#N/A
2/6/2017,32.572498,228.929993,63.639999,#N/A,#N/A
2/7/2017,32.8825,228.940002,63.43,#N/A,#N/A
2/8/2017,33.009998,229.240005,63.34,#N/A,#N/A
2/9/2017,33.105,230.600006,64.059998,#N/A,#N/A
2/10/2017,33.029999,231.509995,64,#N/A,#N/A
2/13/2017,33.322498,232.770004,64.720001,#N/A,#N/A
